t1,rx,ry,rz,qx,qy,qz,qw,t2,th1,th2,th3,th4,th5,th6
12.7,-0.540211,0.381518,0.267186,-0.376965,0.895452,0.162065,-0.172618,12.7,-0.570513,-2.54783,-0.948133,1.22522,2.89466,-2.72816
12.8,-0.0805092,-0.63397,0.363682,-0.0259739,0.982209,0.0435031,0.180825,12.8,-1.7505,-0.726336,0.551664,1.23213,2.71873,0.935566
12.9,-0.0805092,-0.63397,0.363682,-0.0259739,0.982209,0.0435031,0.180825,12.9,-1.7505,-0.726336,0.551664,1.23213,2.71873,0.935566
13,-0.0805092,-0.63397,0.363682,-0.0259739,0.982209,0.0435031,0.180825,13,-1.7505,-0.726336,0.551664,1.23213,2.71873,0.935566
13.1,0.172066,0.0689802,-0.452265,0.871562,-0.363085,-0.209768,-0.254059,13.1,-1.65248,1.17873,1.5287,1.29622,-0.810531,2.81989
13.2,0.172066,0.0689802,-0.452265,0.871562,-0.363085,-0.209768,-0.254059,13.2,-1.65248,1.17873,1.5287,1.29622,-0.810531,2.81989
13.3,-0.140322,0.221101,0.691357,0.456014,-0.199113,0.866571,0.0382196,13.3,-0.734504,-2.53087,1.52996,2.15765,-2.06591,-2.86827
13.4,-0.140322,0.221101,0.691357,0.456014,-0.199113,0.866571,0.0382196,13.4,-0.734504,-2.53087,1.52996,2.15765,-2.06591,-2.86827
13.5,-0.073352,0.0119777,0.184479,0.591363,0.160313,-0.538453,0.578496,13.5,1.43634,-1.97732,2.72627,1.25475,2.00811,0.375734
13.6,-0.073352,0.0119777,0.184479,0.591363,0.160313,-0.538453,0.578496,13.6,1.43634,-1.97732,2.72627,1.25475,2.00811,0.375734
13.7,-0.073352,0.0119777,0.184479,0.591363,0.160313,-0.538453,0.578496,13.7,1.43634,-1.97732,2.72627,1.25475,2.00811,0.375734
13.8,0.0257318,-0.184324,0.519064,-0.238626,0.380536,-0.401234,0.798287,13.8,2.72376,-2.52081,1.65813,0.319186,-0.934938,2.63077
13.9001,0.0257318,-0.184324,0.519064,-0.238626,0.380536,-0.401234,0.798287,13.9001,2.72376,-2.52081,1.65813,0.319186,-0.934938,2.63077
14,0.165659,0.549029,-0.430415,0.153645,0.820274,0.256549,-0.487572,14,1.02604,1.17684,-0.566115,-2.45421,1.14919,1.5664
14.1,0.165659,0.549029,-0.430415,0.153645,0.820274,0.256549,-0.487572,14.1,1.02604,1.17684,-0.566115,-2.45421,1.14919,1.5664
14.2,-0.663358,-0.272605,-0.194714,0.307189,0.847402,-0.387016,-0.19433,14.2,0.65785,2.75455,-0.191637,1.06814,0.196035,-2.73067
14.3,-0.663358,-0.272605,-0.194714,0.307189,0.847402,-0.387016,-0.19433,14.3,0.65785,2.75455,-0.191637,1.06814,0.196035,-2.73067
14.4,-0.140917,0.0584607,0.200636,-0.12683,0.395513,-0.720488,0.555321,14.4,-0.189124,-1.31319,-2.43913,2.78157,-2.82555,1.36848
